Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_b41b1af94e396651e4dc5c837488af0c,Undirected,23021,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_7c961c29e87b052382f48518815a213f,Undirected,23022,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_457632a37f55b97754c84f5396a87560,Undirected,23023,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_e8bf128f1765f12d0b75c885dc7abd1b,Undirected,23024,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_aaa537f97162ab66cdc159d609785868,Undirected,23025,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_e712c6020d7eb0c0c5c3e4593b09d9f5,Undirected,23026,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_e8873f70ed1e122cb5f501121bcd798a,Undirected,23027,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_c898c940af10acbe3665011621b97f90,Undirected,23028,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_c898c798d0bdfa7f1598ee67ff9bcb17,Undirected,23029,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_e002a52dad4fb4274f26894f73f8e3fd,Undirected,23030,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_dad51b5f637a1c33e5832bf4afd1564a,Undirected,23031,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_40c66b4f2699313085971b8c2b90f329,Undirected,23032,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_840d4707d0a4db1facc1affe2bc39eda,Undirected,23033,,,1,,1
grantnumber_b1817369c500f6f3969ded283efd876a,entityid_9f435c909c611dd506bd7269784c6da1,Undirected,23034,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_9f0bdfa8f71b8bddc960a777eba202fe,Undirected,23035,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_43db0063f4bfe538a9086cf0fae0a270,Undirected,23036,,,1,,1
