month,plarceny,glarceny,harrasment,assault,cmischief
1,1976,1328,1029,761,828
2,1774,1131,920,724,745
3,1970,1392,1131,875,833
4,1993,1286,1109,885,1101
5,2103,1365,1224,972,792
6,2142,1438,1178,918,981
7,2178,1396,1079,959,812
8,2305,1465,1235,925,1049
9,2105,1338,1116,886,686
10,2046,1418,1142,910,893
11,1918,1384,1064,832,634
12,2110,1536,1018,771,649
