date,time,desc,boro,lat,lon
10/08/2016,07:45:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.606351698000005,-73.94199018399999
10/06/2016,21:27:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.798285226,-73.96267373100001
10/05/2016,17:58:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67278405,-73.866472894
10/05/2016,00:07:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.68773221,-73.937491478
10/03/2016,23:52:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.810524424,-73.938214246
10/03/2016,12:54:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.840783858,-73.936252607
10/02/2016,18:25:00,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,40.568827644,-74.121181494
10/02/2016,04:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.876743654,-73.90622669
10/01/2016,19:25:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.842803108000005,-73.897076401
10/01/2016,09:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.650957959,-73.955865681
09/30/2016,17:35:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.720450333,-73.97491448
09/29/2016,09:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.638667594,-74.02246340399999
09/28/2016,23:26:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.708227855,-73.912862387
09/28/2016,07:24:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.693140904,-73.945859731
09/27/2016,18:30:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.732876229,-73.860333942
09/13/2016,00:42:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.657743089,-73.909136741
09/27/2016,09:35:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.672585871,-73.873261458
09/27/2016,00:37:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.662518015,-73.927011804
09/26/2016,17:45:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.641068098000005,-73.962469806
09/26/2016,14:23:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.820663494,-73.956385411
09/24/2016,04:40:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.693702669000004,-73.780915483
09/23/2016,13:50:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.819718656999996,-73.942389497
09/21/2016,15:11:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.671168243000004,-73.909688025
09/20/2016,20:56:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.855961786,-73.839795807
09/20/2016,11:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.830798914,-73.82694879600001
09/19/2016,22:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.686395734,-73.949095931
09/13/2016,23:53:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.672674098,-73.86168930699999
09/10/2016,23:42:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.726529377,-73.734864538
09/10/2016,22:12:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.675309538,-73.788052771
09/07/2016,19:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.653674996,-73.96278707
09/06/2016,22:23:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.673324484,-73.91539184
09/06/2016,01:28:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.719840334000004,-73.962400198
09/05/2016,04:14:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.663341242,-73.96017925
09/05/2016,03:49:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.663133396999996,-73.96243216100001
09/04/2016,01:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.640366106,-73.890520884
09/03/2016,21:25:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.70284629,-73.812428901
09/03/2016,18:23:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.832941761,-73.935432593
09/03/2016,04:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.675646399,-73.927184904
09/03/2016,04:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.675646399,-73.927184904
09/02/2016,19:30:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.628089722,-73.946103435
09/01/2016,22:27:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.674986972,-73.945849231
09/01/2016,12:29:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.615912856,-73.920737805
08/31/2016,21:15:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.710739715,-73.803872427
08/29/2016,12:20:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.639163716,-73.994427347
08/28/2016,03:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.673341037,-73.932083027
08/28/2016,02:23:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.69726035,-73.977462042
08/28/2016,02:11:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.643506043,-73.902615955
