hours,count
0,21
1,25
2,20
3,7
4,15
5,10
6,6
7,6
8,7
9,8
10,7
11,3
12,12
13,7
14,10
15,8
16,10
17,11
18,14
19,19
20,17
21,24
22,25
23,22
